공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
대학로 드림아트센터,3관 나몰라홀,210,7,6,367,47480,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
대학로 드림아트센터,4관,208,6,5,337,34703,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
LG아트센터 서울,U+ 스테이지,365,16,16,645,37086,민간(대학로 외),서울특별시 강서구 마곡중앙로 136(마곡동)
예스24 스테이지(구. DCF대명문화공장),1관,406,9,7,447,104544,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동)
예스24 스테이지(구. DCF대명문화공장),2관,301,6,5,535,79449,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동)
예스24 스테이지(구. DCF대명문화공장),3관(구. 수현재씨어터),255,5,4,385,43858,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동)
예스24 스테이지(구. DCF대명문화공장),합계,962,20,16,1367,227851,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동)
유니플렉스,1관(대극장),600,7,7,382,125808,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동)
유니플렉스,2관(중극장),300,1,0,368,91316,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동)
유니플렉스,3관(소극장),200,3,2,269,10130,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동)
유니플렉스,합계,1100,11,9,1019,227254,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동)
광림아트센터,BBCH홀,1026,6,5,376,200141,민간(대학로 외),서울특별시 강남구 논현로163길 33 (신사동)
디큐브아트센터,디큐브씨어터,1242,5,4,275,198413,민간(대학로 외),"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)"
디큐브아트센터,합계,1742,5,4,275,198413,민간(대학로 외),"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)"
대학로아트원씨어터,1관,365,5,4,427,102748,민간(대학로),서울특별시 종로구 대학로12길 83 (동숭동)
대학로아트원씨어터,2관,250,5,4,428,69465,민간(대학로),서울특별시 종로구 대학로12길 83 (동숭동)
