,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,구,Latitude,Longitude
641,동숭무대소극장,1,120,동숭무대소극장,120,민간(대학로),2002,서울,종로구,서울특별시 종로구 혜화로 35 (명륜1가),37.5887814,126.999291
644,동양예술극장(구. 아트센터K),3,583,"1관(네모극장)
3관(세모극장)
2관(동그라미극장)","221
162
200",민간(대학로),2015,서울,종로구,서울특별시 종로구 대학로14길 29,37.5846112,127.002336
646,동자아트홀,1,157,동자아트홀,157,민간(대학로 외),2014,서울,용산구,"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)",37.5520713,126.9724315
647,동작문화원,1,0,동작문화원,0,공공(기타),0,서울,동작구,서울특별시 동작구 장승배기로10길 42(상도동),37.5044164,126.9411158
648,동작아트갤러리,1,0,동작아트갤러리,0,기타(비공연장),2019,서울,동작구,서울특별시 동작구 보라매로5길 28-1(신대방동),37.4926778,126.919139
652,동화소극장,1,60,동화소극장,60,민간(대학로),2015,서울,종로구,서울특별시 종로구 성균관로 6-5 (명륜2가),37.5846997,126.9990412
654,두리춤터,2,310,"Black Box
FOYER","150
160",민간(대학로 외),1990,서울,서초구,서울특별시 서초구 동광로19길 15 (방배동),37.4930985,126.9891351
655,두산아트센터,3,622,"Space111
연강홀
로비","0
622
0",민간(대학로 외),2007,서울,종로구,서울특별시 종로구 종로33길 15 (연지동),37.5748226,126.9994744
657,드림시어터 [대학로],1,125,드림시어터 [대학로],125,민간(대학로),2012,서울,종로구,서울특별시 종로구 대학로10길 15 - 11,37.5822895,127.0027902
662,디 마르가리따,1,40,디 마르가리따,40,기타(비공연장),2013,서울,서초구,서울특별시 서초구 효령로 202 (서초동),37.4828743,127.0064093
663,디뮤지엄,1,0,디뮤지엄,0,민간(대학로 외),0,서울,성동구,"서울특별시 성동구 왕십리로 83-21(성수동1가, 아크로 서울포레스트)",37.5445842,127.0439092
665,디엔지홀(DNG HALL),1,250,디엔지홀(DNG HALL),250,민간(대학로 외),2015,서울,송파구,서울특별시 송파구 오금로 195 (방이동),37.5127965,127.1233683
667,디큐브아트센터,2,1742,"디큐브씨어터
스페이스 신도림(폐관)","1,242
500",민간(대학로 외),2011,서울,구로구,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5088514,126.8892373
671,뜻밖의 극장(구. 해우소소극장),1,65,뜻밖의 극장(구. 해우소소극장),65,민간(대학로 외),2018,서울,성북구,서울특별시 성북구 동소문로20나길 27 (동선동1가),37.5925057,127.0181445
672,라까사 호텔 [서울],1,30,라까사 호텔 [서울],30,기타(비공연장),0,서울,강남구,서울특별시 강남구 도산대로1길 83 (신사동),37.521989,127.0195488
674,라까사호텔 [압구정],1,0,라까사호텔 [압구정],0,기타(비공연장),0,서울,강남구,서울특별시 강남구 도산대로1길 83(신사동),37.521989,127.0195488
