,공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
1777,서울생활문화센터 신도림 지하 소극장,합계,0,1,1,3,150,민간(대학로 외),서울특별시 구로구 새말로 지하117-21(신도림동)
1779,윤보선 고택,합계,150,2,2,2,149,기타(비공연장),서울특별시 종로구 윤보선길 62 (안국동) 
1785,더샵갤러리,합계,0,1,1,10,144,민간(대학로 외),서울특별시 강남구 언주로 832(신사동)
1794,게토얼라이브,합계,75,5,5,6,136,민간(대학로 외),서울특별시 성동구 왕십리로 104 (성수동1가) 정일빌딩
1798,이어령 예술극장 (구. 석관동 예술극장),합계,0,1,1,4,135,민간(대학로 외),서울특별시 성북구 화랑로32길 146-37(석관동)
1799,경동교회,합계,450,3,3,3,134,기타(비공연장),서울특별시 중구 장충단로 204 (장충동1가) 
1801,에피소드 신촌 369,합계,0,10,10,10,132,기타(비공연장),서울특별시 마포구 신촌로16길 29(노고산동)
1803,호원아트홀,합계,462,2,2,2,131,민간(대학로 외),서울특별시 강동구 성안로 30 (성내동)
1805,용산전자랜드,합계,100,1,1,1,130,민간(대학로 외),서울특별시 용산구 청파로 74(한강로3가)
1807,고라니 특공대,합계,0,6,6,8,127,기타(비공연장),서울특별시 마포구 토정로 136(상수동)
1808,스페이스 DO,합계,0,8,8,8,125,민간(대학로 외),서울특별시 중구 퇴계로49길 24(충무로5가)
1809,더 그란데 파티 앤 뮤직 스튜디오,합계,0,4,4,4,124,민간(대학로 외),서울특별시 서초구 서초대로51길 13 (서초동)
1810,아트홀제이,합계,23,13,13,21,124,민간(대학로 외),서울특별시 송파구 위례성대로 18 (방이동)
1811,에피소드 서초 393,합계,0,12,12,12,124,기타(비공연장),서울특별시 서초구 강남대로49길 10(서초동)
1812,오페라하우스 [신도림],합계,73,2,2,6,122,공공(기타),서울특별시 구로구 새말로 107-32 (구로동)
1814,서울호서예술실용전문학교,합계,0,1,1,1,120,민간(대학로 외),서울특별시 강서구 강서로 505(가양동)
1815,리엠아트센터 LEEAM ART CENTER,A HALL,150,1,1,1,118,민간(대학로 외),서울특별시 강남구 학동로2길 56 (논현동)
1816,리엠아트센터 LEEAM ART CENTER,B HALL,110,0,0,0,0,민간(대학로 외),서울특별시 강남구 학동로2길 56 (논현동)
1817,리엠아트센터 LEEAM ART CENTER,합계,260,1,1,1,118,민간(대학로 외),서울특별시 강남구 학동로2길 56 (논현동)
1818,창동극장,합계,100,2,2,8,118,민간(대학로 외),서울특별시 도봉구 노해로 391 (창동)
1822,다리 소극장,합계,200,4,4,12,115,민간(대학로 외),서울특별시 마포구 월드컵북로2길 49(동교동)
1825,대학로 이음센터,이음홀,80,2,2,6,112,공공(기타),서울특별시 종로구 대학로 112 (동숭동)
1826,대학로 이음센터,이음갤러리,40,0,0,0,0,공공(기타),서울특별시 종로구 대학로 112 (동숭동)
1827,대학로 이음센터,합계,120,2,2,6,112,공공(기타),서울특별시 종로구 대학로 112 (동숭동)
1830,코리아블루스씨어터,합계,50,2,2,6,112,민간(대학로 외),서울특별시 용산구 청파로45길 5 (청파동3가)
1831,탈영역우정국,합계,80,2,2,6,112,기타(비공연장),서울특별시 마포구 독막로20길 42 (창전동) 
1836,용산전쟁기념관,평화홀(1층),0,1,1,2,103,국립,서울특별시 용산구 이태원로 29 (용산동1가)
1837,용산전쟁기념관,전쟁기념관 이병형홀(구. 문화극장),176,0,0,0,0,국립,서울특별시 용산구 이태원로 29 (용산동1가)
1838,용산전쟁기념관,제3기획전시실,0,0,0,0,0,국립,서울특별시 용산구 이태원로 29 (용산동1가)
1839,용산전쟁기념관,평화의 광장,0,0,0,0,0,국립,서울특별시 용산구 이태원로 29 (용산동1가)
1840,용산전쟁기념관,합계,176,1,1,2,103,국립,서울특별시 용산구 이태원로 29 (용산동1가)
