,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1419,연세대학교 음악대학 체임버홀,1.0,0.0,연세대학교 음악대학 체임버홀,0,민간(대학로 외),0.0,서울,서대문구,서울특별시 서대문구 연세로 50(신촌동)
1422,연우소극장,1.0,80.0,연우소극장,80,민간(대학로),1987.0,서울,종로구,서울특별시 종로구 창경궁로35길 21 (혜화동)
1425,연희예술극장,1.0,115.0,연희예술극장,115,민간(대학로 외),2018.0,서울,서대문구,서울특별시 서대문구 연희맛로 2-3 (연희동)
1426,연희정원,1.0,90.0,연희정원,90,민간(대학로 외),0.0,서울,서대문구,서울특별시 서대문구 연희로11라길 10-8 (연희동)
1427,열린극장,1.0,160.0,열린극장,160,민간(대학로),1999.0,서울,종로구,서울특별시 종로구 창경궁로 258-12 (명륜2가)
1433,영등포 타임스퀘어,1.0,50.0,키즈앤키즈 소극장(폐관),50,민간(대학로 외),2014.0,서울,영등포구,서울특별시 영등포구 영중로 15 (영등포동4가)
1434,영등포아트홀,1.0,526.0,영등포아트홀,526,공공(문예회관),2009.0,서울,영등포구,서울특별시 영등포구 국회대로 596 (당산동3가)
1435,영락교회,1.0,1500.0,베다니홀,1500,민간(대학로 외),1945.0,서울,중구,서울특별시 중구 수표로 33 (저동1가)
1436,영산아트홀,1.0,598.0,영산아트홀,598,민간(대학로 외),1999.0,서울,영등포구,서울특별시 영등포구 여의공원로 101 (여의도동)
1437,영산양재홀,1.0,195.0,영산양재홀,195,민간(대학로 외),2005.0,서울,서초구,서울특별시 서초구 바우뫼로37길 45 (양재동)
1448,예그린씨어터,1.0,202.0,예그린씨어터,202,민간(대학로),2014.0,서울,종로구,서울특별시 종로구 동숭길 130-5 (동숭동)
1451,예림당아트홀,1.0,468.0,예림당아트홀,468,민간(대학로 외),2011.0,서울,강남구,서울특별시 강남구 언주로 337 (역삼동)
1455,예술가의 집,1.0,100.0,예술가의 집,100,국립,2010.0,서울,종로구,서울특별시 종로구 동숭길 3 (동숭동)
1456,예술공간 라푸푸,1.0,40.0,예술공간 라푸푸,40,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 동숭4길 4 (동숭동)
1457,예술공간 몬스덕,1.0,54.0,예술공간 몬스덕,54,민간(대학로 외),2015.0,서울,영등포구,서울특별시 영등포구 경인로77가길 7-1 (문래동2가)
